Município;Assistência_Médica;Excl._Odontológico;Total
261510 Terezinha;29;14;43
261520 Terra Nova;60;0;60
261530 Timbaúba;1964;81;2045
261540 Toritama;2629;14;2643
261550 Tracunhaém;77;5;82
261560 Trindade;401;107;508
261570 Triunfo;293;19;312
261580 Tupanatinga;119;5;124
261590 Tuparetama;76;4;80
261600 Venturosa;170;6;176
261610 Verdejante;74;6;80
261618 Vertente do Lério;19;1;20
261620 Vertentes;260;15;275
261630 Vicência;350;14;364
261640 Vitória de Santo Antão;6390;509;6899
261650 Xexéu;70;7;77
260000 Município ignorado - PE;21529;6084;27613
270010 Água Branca;248;29;277
270020 Anadia;222;52;274
270030 Arapiraca;10564;7244;17808
270040 Atalaia;605;24494;25099
270050 Barra de Santo Antônio;127;71;198
270060 Barra de São Miguel;247;63;310
270070 Batalha;305;52;357
270080 Belém;6223;3928;10151
270090 Belo Monte;27;7;34
270100 Boca da Mata;719;431;1150
270110 Branquinha;28;19;47
270120 Cacimbinhas;133;25;158
270130 Cajueiro;270;75;345
270135 Campestre;91;16;107
270140 Campo Alegre;280;389;669
270150 Campo Grande;1617;84;1701
270160 Canapi;67;11;78
270170 Capela;303;151;454
270180 Carneiros;19;3;22
270190 Chã Preta;71;9;80
270200 Coité do Nóia;79;21;100
270210 Colônia Leopoldina;121;18;139
270220 Coqueiro Seco;191;122;313
270230 Coruripe;822;2260;3082
270235 Craíbas;96;72;168
270240 Delmiro Gouveia;1233;310;1543
270250 Dois Riachos;46;16;62
270255 Estrela de Alagoas;77;20;97
270260 Feira Grande;168;111;279
270270 Feliz Deserto;27;13;40
270280 Flexeiras;81;20;101
270290 Girau do Ponciano;165;52;217
270300 Ibateguara;55;21;76
270310 Igaci;190;54;244
270320 Igreja Nova;82;249;331
270330 Inhapi;50;3;53
270340 Jacaré dos Homens;76;7;83
270350 Jacuípe;8;3;11
270360 Japaratinga;55;13;68
270370 Jaramataia;16;36;52
270375 Jequiá da Praia;310;38;348
270380 Joaquim Gomes;65;18;83
270390 Jundiá;15;0;15
270400 Junqueiro;286;87;373
270410 Lagoa da Canoa;104;45;149
270420 Limoeiro de Anadia;55;25;80
270430 Maceió;208240;101230;309470
270440 Major Isidoro;138;44;182
270490 Mar Vermelho;19;11;30
270450 Maragogi;430;53;483
270460 Maravilha;108;7;115
270470 Marechal Deodoro;2728;904;3632
270480 Maribondo;430;243;673
270500 Mata Grande;218;20;238
270510 Matriz de Camaragibe;195;93;288
270520 Messias;315;147;462
270530 Minador do Negrão;62;19;81
270540 Monteirópolis;43;11;54
270550 Murici;565;59;624
270560 Novo Lino;44;17;61
270570 Olho d'Água das Flores;428;35;463
270580 Olho d'Água do Casado;27;5;32
270590 Olho d'Água Grande;6;0;6
270600 Olivença;48;12;60
270610 Ouro Branco;44;14;58
270620 Palestina;46;4;50
270630 Palmeira dos Índios;4522;1776;6298
270640 Pão de Açúcar;469;49;518
270642 Pariconha;31;12;43
270644 Paripueira;290;143;433
270650 Passo de Camaragibe;98;38;136
270660 Paulo Jacinto;94;23;117
270670 Penedo;2401;1167;3568
270680 Piaçabuçu;214;223;437
270690 Pilar;2492;1112;3604
270700 Pindoba;45;8;53
270710 Piranhas;736;54;790
270720 Poço das Trincheiras;55;10;65
270730 Porto Calvo;292;51;343
270740 Porto de Pedras;55;11;66
270750 Porto Real do Colégio;252;32;284
270760 Quebrangulo;164;25;189
270770 Rio Largo;3539;2217;5756
270780 Roteiro;18;4;22
270790 Santa Luzia do Norte;263;145;408
270800 Santana do Ipanema;1455;267;1722
270810 Santana do Mundaú;48;11;59
270820 São Brás;71;30;101
270830 São José da Laje;176;35;211
270840 São José da Tapera;108;32;140
270850 São Luís do Quitunde;269;270;539
270860 São Miguel dos Campos;2954;3155;6109
270870 São Miguel dos Milagres;38;76;114
270880 São Sebastião;259;85;344
270890 Satuba;488;258;746
270895 Senador Rui Palmeira;35;5;40
270900 Tanque d'Arca;24;1;25
270910 Taquarana;127;44;171
270915 Teotônio Vilela;238;409;647
270920 Traipu;181;34;215
270930 União dos Palmares;1457;620;2077
270940 Viçosa;630;134;764
270000 Município ignorado - AL;2100;1261;3361
280010 Amparo de São Francisco;101;18;119
280020 Aquidabã;303;73;376
280030 Aracaju;167621;80513;248134
280040 Arauá;89;137;226
280050 Areia Branca;175;65;240
280060 Barra dos Coqueiros;1870;625;2495
280067 Boquim;481;217;698
280070 Brejo Grande;51;25;76
280100 Campo do Brito;317;40;357
280110 Canhoba;18;15;33
280120 Canindé de São Francisco;266;33;299
280130 Capela;840;242;1082
280140 Carira;173;11;184
280150 Carmópolis;4598;1547;6145
280160 Cedro de São João;169;50;219
280170 Cristinápolis;78;68;146
280190 Cumbe;24;12;36
280200 Divina Pastora;150;43;193
280210 Estância;3544;1506;5050
280220 Feira Nova;37;12;49
280230 Frei Paulo;226;23;249
280240 Gararu;298;19;317
280250 General Maynard;148;106;254
280260 Gracho Cardoso;24;3;27
280270 Ilha das Flores;78;15;93
280280 Indiaroba;100;101;201
280290 Itabaiana;3239;940;4179
280300 Itabaianinha;379;73;452
280310 Itabi;74;6;80
280320 Itaporanga d'Ajuda;312;135;447
280330 Japaratuba;1038;436;1474
280340 Japoatã;116;16;132
280350 Lagarto;3472;1213;4685
280360 Laranjeiras;1672;1513;3185
280370 Macambira;32;41;73
280380 Malhada dos Bois;33;20;53
280390 Malhador;124;31;155
280400 Maruim;1779;954;2733
280410 Moita Bonita;66;11;77
280420 Monte Alegre de Sergipe;71;12;83
280430 Muribeca;112;69;181
280440 Neópolis;585;64;649
280445 Nossa Senhora Aparecida;25;8;33
280450 Nossa Senhora da Glória;580;125;705
280460 Nossa Senhora das Dores;549;71;620
280470 Nossa Senhora de Lourdes;78;13;91
280480 Nossa Senhora do Socorro;7160;2836;9996
280490 Pacatuba;226;146;372
280500 Pedra Mole;21;2;23
280510 Pedrinhas;71;45;116
280520 Pinhão;18;3;21
280530 Pirambu;240;124;364
280540 Poço Redondo;89;12;101
280550 Poço Verde;184;58;242
280560 Porto da Folha;168;33;201
280570 Propriá;1459;327;1786
280580 Riachão do Dantas;126;64;190
280590 Riachuelo;394;154;548
280600 Ribeirópolis;227;19;246
280610 Rosário do Catete;1045;670;1715
280620 Salgado;313;166;479
280630 Santa Luzia do Itanhy;24;153;177
280650 Santa Rosa de Lima;39;13;52
280640 Santana do São Francisco;34;3;37
280660 Santo Amaro das Brotas;311;159;470
280670 São Cristóvão;4465;2801;7266
280680 São Domingos;55;33;88
280690 São Francisco;43;17;60
280700 São Miguel do Aleixo;21;2;23
280710 Simão Dias;627;509;1136
280720 Siriri;627;321;948
280730 Telha;44;15;59
280740 Tobias Barreto;647;336;983
280750 Tomar do Geru;31;78;109
280760 Umbaúba;224;345;569
280000 Município ignorado - SE;4419;5812;10231
290010 Abaíra;654;178;832
290020 Abaré;171;12;183
290030 Acajutiba;200;69;269
290035 Adustina;70;4;74
290040 Água Fria;100;60;160
290060 Aiquara;88;13;101
290070 Alagoinhas;18620;15297;33917
290080 Alcobaça;647;117;764
290090 Almadina;94;11;105
290100 Amargosa;720;49;769
290110 Amélia Rodrigues;1538;728;2266
290115 América Dourada;18;8;26
290120 Anagé;63;14;77
290130 Andaraí;119;51;170
290135 Andorinha;46;89;135
290140 Angical;40;23;63
290150 Anguera;180;61;241
290160 Antas;107;28;135
290170 Antônio Cardoso;91;26;117
290180 Antônio Gonçalves;84;46;130
290190 Aporá;58;36;94
290195 Apuarema;25;2;27
290205 Araças;556;363;919
290200 Aracatu;55;6;61
290210 Araci;473;192;665
290220 Aramari;417;278;695
290225 Arataca;33;16;49
290230 Aratuípe;61;30;91
290240 Aurelino Leal;94;37;131
290250 Baianópolis;55;8;63
290260 Baixa Grande;134;13;147
290265 Banzaê;24;2;26
290270 Barra;986;77;1063
290280 Barra da Estiva;158;8;166
290290 Barra do Choça;380;161;541
290300 Barra do Mendes;166;6;172
290310 Barra do Rocha;208;88;296
290320 Barreiras;8700;1516;10216
290323 Barro Alto;26;2;28
290330 Barro Preto;83;40;123
290327 Barrocas;468;175;643
290340 Belmonte;866;218;1084
290350 Belo Campo;89;9;98
290360 Biritinga;101;21;122
290370 Boa Nova;68;12;80
290380 Boa Vista do Tupim;99;120;219
290390 Bom Jesus da Lapa;2188;514;2702
290395 Bom Jesus da Serra;9;0;9
290400 Boninal;41;3;44
290405 Bonito;26;5;31
290410 Boquira;131;33;164
290420 Botuporã;40;4;44
290430 Brejões;73;15;88
290440 Brejolândia;17;3;20
290450 Brotas de Macaúbas;63;76;139
290460 Brumado;3317;300;3617
290470 Buerarema;366;140;506
290475 Buritirama;38;4;42
290480 Caatiba;56;19;75
290485 Cabaceiras do Paraguaçu;42;9;51
290490 Cachoeira;1088;353;1441
290500 Caculé;288;30;318
290510 Caém;59;6;65
290515 Caetanos;20;13;33
290520 Caetité;1669;283;1952
290530 Cafarnaum;30;21;51
290540 Cairu;81;15;96
290550 Caldeirão Grande;37;14;51
290560 Camacan;1024;458;1482
290570 Camaçari;64709;35507;100216
290580 Camamu;362;102;464
290590 Campo Alegre de Lourdes;121;6;127
290600 Campo Formoso;1083;285;1368
290610 Canápolis;63;4;67
290620 Canarana;106;2;108
290630 Canavieiras;974;305;1279
290640 Candeal;147;44;191
290650 Candeias;12461;7988;20449
290660 Candiba;64;4;68
290670 Cândido Sales;227;38;265
290680 Cansanção;182;46;228
290682 Canudos;183;15;198
290685 Capela do Alto Alegre;51;7;58
290687 Capim Grosso;182;152;334
290689 Caraíbas;16;13;29
290690 Caravelas;1087;125;1212
290700 Cardeal da Silva;392;312;704
290710 Carinhanha;125;12;137
290720 Casa Nova;1126;550;1676
290730 Castro Alves;378;42;420
290740 Catolândia;34;0;34
290750 Catu;16286;14595;30881
290755 Caturama;6;8;14
290760 Central;49;12;61
290770 Chorrochó;62;8;70
290780 Cícero Dantas;331;417;748
290790 Cipó;140;121;261
290800 Coaraci;662;232;894
290810 Cocos;78;13;91
290820 Conceição da Feira;581;156;737
290830 Conceição do Almeida;261;76;337
290840 Conceição do Coité;821;254;1075
290850 Conceição do Jacuípe;1312;626;1938
290860 Conde;192;139;331
290870 Condeúba;220;11;231
290880 Contendas do Sincorá;34;0;34
290890 Coração de Maria;550;253;803
290900 Cordeiros;52;15;67
290910 Coribe;115;9;124
290920 Coronel João Sá;28;9;37
290930 Correntina;359;464;823
290940 Cotegipe;37;6;43
290950 Cravolândia;25;8;33
290960 Crisópolis;73;27;100
290970 Cristópolis;99;15;114
290980 Cruz das Almas;2820;1356;4176
290990 Curaçá;339;136;475
291000 Dário Meira;68;16;84
291005 Dias d'Ávila;16114;12788;28902
291010 Dom Basílio;22;1;23
291020 Dom Macedo Costa;35;12;47
291030 Elísio Medrado;57;36;93
291040 Encruzilhada;123;118;241
291050 Entre Rios;2256;2164;4420
290050 Érico Cardoso;32;7;39
291060 Esplanada;827;313;1140
291070 Euclides da Cunha;880;128;1008
291072 Eunápolis;16577;5534;22111
291075 Fátima;24;36;60
291077 Feira da Mata;83;5;88
291080 Feira de Santana;85495;31166;116661
291085 Filadélfia;82;12;94
291090 Firmino Alves;27;4;31
291100 Floresta Azul;160;72;232
291110 Formosa do Rio Preto;190;43;233
291120 Gandu;2397;873;3270
291125 Gavião;10;3;13
291130 Gentio do Ouro;34;1;35
291140 Glória;225;25;250
291150 Gongogi;24;32;56
291160 Governador Mangabeira;260;310;570
291165 Guajeru;3;0;3
291170 Guanambi;2303;201;2504
291180 Guaratinga;136;33;169
291185 Heliópolis;29;14;43
291190 Iaçu;436;61;497
291200 Ibiassucê;50;8;58
291210 Ibicaraí;695;343;1038
291220 Ibicoara;103;19;122
291230 Ibicuí;197;15;212
291240 Ibipeba;41;11;52
291250 Ibipitanga;9;0;9
291260 Ibiquera;30;0;30
291270 Ibirapitanga;100;267;367
291280 Ibirapuã;264;43;307
291290 Ibirataia;345;46;391
291300 Ibitiara;54;15;69
291310 Ibititá;53;11;64
291320 Ibotirama;400;80;480
291330 Ichu;48;43;91
291340 Igaporã;71;10;81
291345 Igrapiúna;148;66;214
291350 Iguaí;182;29;211
291360 Ilhéus;16922;13564;30486
291370 Inhambupe;339;242;581
291380 Ipecaetá;52;15;67
291390 Ipiaú;4091;1279;5370
291400 Ipirá;831;170;1001
291410 Ipupiara;60;11;71
291420 Irajuba;26;2;28
291430 Iramaia;125;10;135
291440 Iraquara;118;3;121
291450 Irará;728;257;985
291460 Irecê;2847;663;3510
291465 Itabela;613;362;975
291470 Itaberaba;2666;589;3255
291480 Itabuna;27130;13383;40513
291490 Itacaré;189;23;212
291500 Itaeté;93;4;97
291510 Itagi;100;67;167
291520 Itagibá;1350;52;1402
291530 Itagimirim;291;91;382
291535 Itaguaçu da Bahia;24;0;24
291540 Itaju do Colônia;61;31;92
291550 Itajuípe;853;699;1552
291560 Itamaraju;4101;621;4722
291570 Itamari;44;15;59
291580 Itambé;268;99;367
291590 Itanagra;472;60;532
291600 Itanhém;482;67;549
291610 Itaparica;654;972;1626
291620 Itapé;117;115;232
291630 Itapebi;363;96;459
291640 Itapetinga;4359;1164;5523
291650 Itapicuru;55;54;109
291660 Itapitanga;146;65;211
291670 Itaquara;52;6;58
291680 Itarantim;194;22;216
291685 Itatim;181;19;200
291690 Itiruçu;157;75;232
291700 Itiúba;278;178;456
291710 Itororó;295;42;337
291720 Ituaçu;169;32;201
291730 Ituberá;642;73;715
291733 Iuiú;27;5;32
291735 Jaborandi;28;58;86
291740 Jacaraci;66;1;67
291750 Jacobina;5044;3457;8501
291760 Jaguaquara;1001;94;1095
291770 Jaguarari;899;306;1205
291780 Jaguaripe;63;42;105
291790 Jandaíra;55;20;75
291800 Jequié;13634;3307;16941
291810 Jeremoabo;285;99;384
291820 Jiquiriçá;22;20;42
291830 Jitaúna;216;55;271
291835 João Dourado;97;23;120
291840 Juazeiro;18587;5770;24357
291845 Jucuruçu;4;3;7
291850 Jussara;26;1;27
291855 Jussari;82;26;108
291860 Jussiape;51;2;53
291870 Lafaiete Coutinho;57;10;67
291875 Lagoa Real;13;0;13
291880 Laje;199;44;243
291890 Lajedão;81;2;83
291900 Lajedinho;15;0;15
291905 Lajedo do Tabocal;18;5;23
291910 Lamarão;40;36;76
291915 Lapão;130;18;148
291920 Lauro de Freitas;40533;25314;65847
291930 Lençóis;192;72;264
291940 Licínio de Almeida;81;19;100
291950 Livramento de Nossa Senhora;575;28;603
291955 Luís Eduardo Magalhães;3148;563;3711
291960 Macajuba;64;7;71
291970 Macarani;183;24;207
291980 Macaúbas;331;9;340
291990 Macururé;12;6;18
291992 Madre de Deus;3547;2102;5649
291995 Maetinga;27;3;30
292000 Maiquinique;324;9;333
292010 Mairi;167;54;221
292020 Malhada;20;2;22
292030 Malhada de Pedras;59;28;87
292040 Manoel Vitorino;100;7;107
292045 Mansidão;37;3;40
292050 Maracás;214;34;248
292060 Maragogipe;855;279;1134
292070 Maraú;80;25;105
292080 Marcionílio Souza;23;6;29
292090 Mascote;51;15;66
292100 Mata de São João;7284;3380;10664
292105 Matina;12;0;12
292110 Medeiros Neto;895;25;920
292120 Miguel Calmon;431;75;506
292130 Milagres;109;28;137
292140 Mirangaba;23;12;35
292145 Mirante;14;2;16
292150 Monte Santo;208;51;259
292160 Morpará;51;5;56
292170 Morro do Chapéu;403;341;744
292180 Mortugaba;93;3;96
292190 Mucugê;121;20;141
292200 Mucuri;4671;3607;8278
292205 Mulungu do Morro;20;6;26
292210 Mundo Novo;275;16;291
292220 Muniz Ferreira;48;19;67
292225 Muquém de São Francisco;12;0;12
292230 Muritiba;1206;505;1711
292240 Mutuípe;333;24;357
292250 Nazaré;1015;367;1382
292260 Nilo Peçanha;45;11;56
292265 Nordestina;25;5;30
292270 Nova Canaã;158;22;180
292273 Nova Fátima;51;12;63
292275 Nova Ibiá;42;1;43
292280 Nova Itarana;12;4;16
292285 Nova Redenção;64;18;82
292290 Nova Soure;162;71;233
292300 Nova Viçosa;1509;417;1926
292303 Novo Horizonte;17;12;29
292305 Novo Triunfo;15;77;92
292310 Olindina;176;251;427
292320 Oliveira dos Brejinhos;82;0;82
292330 Ouriçangas;78;125;203
292335 Ourolândia;25;2;27
292340 Palmas de Monte Alto;67;16;83
292350 Palmeiras;175;38;213
292360 Paramirim;186;46;232
292370 Paratinga;119;70;189
292380 Paripiranga;246;32;278
292390 Pau Brasil;193;10;203
292400 Paulo Afonso;10938;1275;12213
292405 Pé de Serra;29;0;29
292410 Pedrão;36;59;95
292420 Pedro Alexandre;17;10;27
292430 Piatã;78;27;105
292440 Pilão Arcado;125;3;128
292450 Pindaí;51;27;78
292460 Pindobaçu;174;33;207
292465 Pintadas;49;5;54
292467 Piraí do Norte;23;11;34
292470 Piripá;72;11;83
292480 Piritiba;178;14;192
292490 Planaltino;30;5;35
292500 Planalto;315;61;376
292510 Poções;952;140;1092
292520 Pojuca;6464;7836;14300
292525 Ponto Novo;46;11;57
292530 Porto Seguro;6517;2387;8904
292540 Potiraguá;152;24;176
292550 Prado;679;26;705
292560 Presidente Dutra;104;11;115
292570 Presidente Jânio Quadros;62;5;67
292575 Presidente Tancredo Neves;120;13;133
292580 Queimadas;173;67;240
292590 Quijingue;43;12;55
292593 Quixabeira;8;4;12
292595 Rafael Jambeiro;95;19;114
292600 Remanso;638;61;699
292610 Retirolândia;64;29;93
292620 Riachão das Neves;102;36;138
292630 Riachão do Jacuípe;479;118;597
292640 Riacho de Santana;249;14;263
292650 Ribeira do Amparo;27;29;56
292660 Ribeira do Pombal;1247;499;1746
292665 Ribeirão do Largo;29;12;41
292670 Rio de Contas;95;12;107
292680 Rio do Antônio;35;3;38
292690 Rio do Pires;29;4;33
292700 Rio Real;368;58;426
292710 Rodelas;78;39;117
292720 Ruy Barbosa;477;79;556
292730 Salinas da Margarida;164;201;365
292740 Salvador;701997;468026;1170023
292750 Santa Bárbara;351;258;609
292760 Santa Brígida;45;11;56
292770 Santa Cruz Cabrália;536;178;714
292780 Santa Cruz da Vitória;38;36;74
292790 Santa Inês;187;56;243
292805 Santa Luzia;232;31;263
292810 Santa Maria da Vitória;818;75;893
292840 Santa Rita de Cássia;201;2;203
292850 Santa Teresinha;41;9;50
292800 Santaluz;284;69;353
292820 Santana;393;46;439
292830 Santanópolis;114;71;185
292860 Santo Amaro;4417;2112;6529
292870 Santo Antônio de Jesus;6600;1674;8274
292880 Santo Estêvão;1698;381;2079
292890 São Desidério;260;28;288
292895 São Domingos;52;10;62
292910 São Felipe;227;36;263
292900 São Félix;327;134;461
292905 São Félix do Coribe;114;11;125
292920 São Francisco do Conde;3213;1618;4831
292925 São Gabriel;265;24;289
292930 São Gonçalo dos Campos;1681;677;2358
292935 São José da Vitória;36;27;63
292937 São José do Jacuípe;16;10;26
292940 São Miguel das Matas;94;17;111
292950 São Sebastião do Passé;5083;2918;8001
292960 Sapeaçu;206;57;263
292970 Sátiro Dias;81;78;159
292975 Saubara;148;73;221
292980 Saúde;68;50;118
292990 Seabra;834;125;959
293000 Sebastião Laranjeiras;16;1;17
293010 Senhor do Bonfim;3070;1002;4072
293020 Sento Sé;292;37;329
293015 Serra do Ramalho;100;9;109
293030 Serra Dourada;95;6;101
293040 Serra Preta;168;159;327
293050 Serrinha;4978;1809;6787
293060 Serrolândia;72;17;89
293070 Simões Filho;20525;14369;34894
293075 Sítio do Mato;25;4;29
293076 Sítio do Quinto;24;12;36
293077 Sobradinho;2041;673;2714
293080 Souto Soares;41;19;60
293090 Tabocas do Brejo Velho;24;16;40
293100 Tanhaçu;142;10;152
293105 Tanque Novo;63;8;71
293110 Tanquinho;193;93;286
293120 Taperoá;119;66;185
293130 Tapiramutá;79;30;109
293135 Teixeira de Freitas;19848;4460;24308
293140 Teodoro Sampaio;117;197;314
293150 Teofilândia;3249;748;3997
293160 Teolândia;88;29;117
293170 Terra Nova;229;229;458
293180 Tremedal;106;3;109
293190 Tucano;393;759;1152
293200 Uauá;524;176;700
293210 Ubaíra;160;18;178
293220 Ubaitaba;695;201;896
293230 Ubatã;524;147;671
293240 Uibaí;104;2;106
293245 Umburanas;13;0;13
293250 Una;586;239;825
293260 Urandi;84;3;87
293270 Uruçuca;466;182;648
293280 Utinga;128;22;150
293290 Valença;3261;1073;4334
293300 Valente;286;41;327
293305 Várzea da Roça;43;29;72
293310 Várzea do Poço;24;7;31
293315 Várzea Nova;25;15;40
293317 Varzedo;32;6;38
293320 Vera Cruz;1435;1241;2676
293325 Vereda;55;5;60
293330 Vitória da Conquista;33104;8891;41995
293340 Wagner;35;34;69
293345 Wanderley;68;8;76
293350 Wenceslau Guimarães;137;70;207
293360 Xique-Xique;540;165;705
290000 Município ignorado - BA;8703;35750;44453
310010 Abadia dos Dourados;1263;118;1381
310020 Abaeté;2209;1150;3359
310030 Abre Campo;2137;11;2148
310040 Acaiaca;188;0;188
310050 Açucena;343;39;382
310060 Água Boa;184;9;193
310070 Água Comprida;75;9;84
310080 Aguanil;48;9;57
310090 Águas Formosas;484;9;493
310100 Águas Vermelhas;115;0;115
310110 Aimorés;1962;138;2100
310120 Aiuruoca;173;14;187
310130 Alagoa;76;3;79
310140 Albertina;208;14;222
310150 Além Paraíba;6745;174;6919
310160 Alfenas;16854;455;17309
310163 Alfredo Vasconcelos;188;1;189
310170 Almenara;2249;75;2324
310180 Alpercata;347;5;352
310190 Alpinópolis;2339;185;2524
310200 Alterosa;420;28;448
310205 Alto Caparaó;120;3;123
315350 Alto Jequitibá;235;4;239
310210 Alto Rio Doce;293;10;303
310220 Alvarenga;33;2;35
310230 Alvinópolis;756;14;770
310240 Alvorada de Minas;22;3;25
310250 Amparo do Serra;298;4;302
310260 Andradas;8361;144;8505
310280 Andrelândia;868;26;894
310285 Angelândia;20;0;20
310290 Antônio Carlos;617;31;648
310300 Antônio Dias;478;12;490
310310 Antônio Prado de Minas;24;4;28
310320 Araçaí;685;23;708
310330 Aracitaba;116;2;118
310340 Araçuaí;1264;56;1320
310350 Araguari;20369;2696;23065
310360 Arantina;141;14;155
310370 Araponga;112;2;114
310375 Araporã;385;149;534
310380 Arapuá;295;0;295
310390 Araújos;1509;2;1511
310400 Araxá;27366;3203;30569
310410 Arceburgo;1442;18;1460
310420 Arcos;5017;1679;6696
310430 Areado;2139;24;2163
310440 Argirita;155;6;161
310445 Aricanduva;22;1;23
310450 Arinos;503;11;514
310460 Astolfo Dutra;1436;25;1461
310470 Ataléia;230;13;243
310480 Augusto de Lima;119;5;124
310490 Baependi;2272;29;2301
310500 Baldim;688;85;773
310510 Bambuí;1385;101;1486
310520 Bandeira;25;2;27
310530 Bandeira do Sul;657;343;1000
310540 Barão de Cocais;9366;367;9733
310550 Barão de Monte Alto;87;5;92
310560 Barbacena;33344;597;33941
310570 Barra Longa;425;0;425
310590 Barroso;2706;94;2800
310600 Bela Vista de Minas;1621;30;1651
310610 Belmiro Braga;202;40;242
310620 Belo Horizonte;1137960;262984;1400944
310630 Belo Oriente;2428;413;2841
310640 Belo Vale;448;48;496
310650 Berilo;119;7;126
310665 Berizal;16;0;16
310660 Bertópolis;35;2;37
310670 Betim;118758;23513;142271
310680 Bias Fortes;62;0;62
310690 Bicas;2490;97;2587
310700 Biquinhas;79;18;97
310710 Boa Esperança;4198;59;4257
310720 Bocaina de Minas;59;13;72
310730 Bocaiúva;2768;535;3303
310740 Bom Despacho;6930;154;7084
310750 Bom Jardim de Minas;383;18;401
310760 Bom Jesus da Penha;101;8;109
310770 Bom Jesus do Amparo;204;12;216
310780 Bom Jesus do Galho;301;25;326
310790 Bom Repouso;190;6;196
310800 Bom Sucesso;1216;30;1246
310810 Bonfim;220;13;233
310820 Bonfinópolis de Minas;124;8;132
310825 Bonito de Minas;33;0;33
310830 Borda da Mata;891;40;931
310840 Botelhos;3054;181;3235
310850 Botumirim;45;4;49
310870 Brás Pires;283;2;285
310855 Brasilândia de Minas;905;125;1030
310860 Brasília de Minas;682;27;709
310890 Brasópolis;1794;160;1954
310880 Braúnas;199;7;206
310900 Brumadinho;10129;1264;11393
310910 Bueno Brandão;279;8;287
310920 Buenópolis;203;8;211
310925 Bugre;59;3;62
310930 Buritis;1245;30;1275
310940 Buritizeiro;853;55;908
310945 Cabeceira Grande;21;3;24
310950 Cabo Verde;929;16;945
310960 Cachoeira da Prata;1147;9;1156
310970 Cachoeira de Minas;1871;52;1923
310270 Cachoeira de Pajeú;46;7;53
310980 Cachoeira Dourada;132;46;178
310990 Caetanópolis;1322;564;1886
311000 Caeté;6668;1365;8033
311010 Caiana;65;3;68
311020 Cajuri;260;5;265
311030 Caldas;3078;40;3118
311040 Camacho;49;0;49
311050 Camanducaia;2155;34;2189
311060 Cambuí;3323;62;3385
311070 Cambuquira;1209;305;1514
311080 Campanário;107;8;115
311090 Campanha;1865;106;1971
311100 Campestre;2491;51;2542
311110 Campina Verde;3060;37;3097
311115 Campo Azul;10;0;10
311120 Campo Belo;6260;286;6546
311130 Campo do Meio;341;4;345
311140 Campo Florido;1001;3;1004
311150 Campos Altos;800;206;1006
311160 Campos Gerais;1113;15;1128
311190 Cana Verde;173;7;180
311170 Canaã;163;14;177
311180 Canápolis;722;129;851
311200 Candeias;583;15;598
311205 Cantagalo;36;6;42
311210 Caparaó;33;11;44
311220 Capela Nova;108;4;112
311230 Capelinha;1985;57;2042
311240 Capetinga;749;22;771
311250 Capim Branco;1297;20;1317
311260 Capinópolis;2460;207;2667
311265 Capitão Andrade;134;2;136
311270 Capitão Enéas;1608;14;1622
311280 Capitólio;518;15;533
311290 Caputira;177;1;178
311300 Caraí;114;11;125
311310 Caranaíba;43;4;47
311320 Carandaí;2042;111;2153
311330 Carangola;3584;124;3708
311340 Caratinga;11119;232;11351
311350 Carbonita;486;17;503
311360 Careaçu;324;12;336
311370 Carlos Chagas;1439;24;1463
311380 Carmésia;30;10;40
311390 Carmo da Cachoeira;623;11;634
311400 Carmo da Mata;1323;9;1332
311410 Carmo de Minas;2194;106;2300
311420 Carmo do Cajuru;5599;52;5651
311430 Carmo do Paranaíba;2938;34;2972
311440 Carmo do Rio Claro;1655;22;1677
311450 Carmópolis de Minas;1059;18;1077
311455 Carneirinho;594;411;1005
311460 Carrancas;255;7;262
311470 Carvalhópolis;348;5;353
311480 Carvalhos;119;0;119
311490 Casa Grande;33;9;42
311500 Cascalho Rico;38;4;42
311510 Cássia;1405;24;1429
311530 Cataguases;13814;787;14601
311535 Catas Altas;1883;18;1901
311540 Catas Altas da Noruega;93;4;97
311545 Catuji;38;2;40
311547 Catuti;29;0;29
311550 Caxambu;4023;164;4187
311560 Cedro do Abaeté;20;0;20
311570 Central de Minas;191;9;200
311580 Centralina;193;46;239
311590 Chácara;128;5;133
311600 Chalé;59;1;60
311610 Chapada do Norte;87;1;88
311615 Chapada Gaúcha;21;0;21
311620 Chiador;74;12;86
311630 Cipotânea;35;1;36
311640 Claraval;257;5;262
311650 Claro dos Poções;119;5;124
311660 Cláudio;4521;21;4542
311670 Coimbra;413;10;423
311680 Coluna;119;4;123
311690 Comendador Gomes;199;10;209
311700 Comercinho;52;0;52
311710 Conceição da Aparecida;263;1;264
311520 Conceição da Barra de Minas;123;1;124
311730 Conceição das Alagoas;863;180;1043
311720 Conceição das Pedras;19;2;21
311740 Conceição de Ipanema;15;0;15
311750 Conceição do Mato Dentro;510;30;540
311760 Conceição do Pará;402;3;405
311770 Conceição do Rio Verde;726;6;732
311780 Conceição dos Ouros;2311;16;2327
311783 Cônego Marinho;27;6;33
311787 Confins;1110;288;1398
311790 Congonhal;803;57;860
311800 Congonhas;14559;1206;15765
311810 Congonhas do Norte;7;1;8
311820 Conquista;492;19;511
311830 Conselheiro Lafaiete;43897;7453;51350
311840 Conselheiro Pena;2980;32;3012
311850 Consolação;144;12;156
311860 Contagem;225247;62784;288031
