Município;Assistência_Médica;Excl._Odontológico;Total
171790 Ponte Alta do Tocantins;34;5;39
171800 Porto Alegre do Tocantins;46;3;49
171820 Porto Nacional;1596;121;1717
171830 Praia Norte;25;0;25
171840 Presidente Kennedy;48;19;67
171845 Pugmil;1;0;1
171850 Recursolândia;8;0;8
171855 Riachinho;11;1;12
171865 Rio da Conceição;12;0;12
171870 Rio dos Bois;11;2;13
171875 Rio Sono;47;6;53
171880 Sampaio;28;1;29
171884 Sandolândia;18;6;24
171886 Santa Fé do Araguaia;25;2;27
171888 Santa Maria do Tocantins;7;4;11
171889 Santa Rita do Tocantins;3;0;3
171890 Santa Rosa do Tocantins;24;5;29
171900 Santa Tereza do Tocantins;10;5;15
172000 Santa Terezinha do Tocantins;1;0;1
172010 São Bento do Tocantins;14;3;17
172015 São Félix do Tocantins;10;1;11
172020 São Miguel do Tocantins;50;3;53
172025 São Salvador do Tocantins;42;1;43
172030 São Sebastião do Tocantins;24;3;27
172049 São Valério da Natividade;34;6;40
172065 Silvanópolis;33;2;35
172080 Sítio Novo do Tocantins;67;5;72
172085 Sucupira;14;0;14
172090 Taguatinga;3436;229;3665
172093 Taipas do Tocantins;4;0;4
172097 Talismã;5;2;7
172110 Tocantínia;57;7;64
172120 Tocantinópolis;1014;115;1129
172125 Tupirama;8;0;8
172130 Tupiratins;11;0;11
172208 Wanderlândia;76;9;85
172210 Xambioá;216;38;254
170000 Município ignorado - TO;333;355;688
210005 Açailândia;8433;801;9234
210015 Água Doce do Maranhão;8;0;8
210020 Alcântara;71;12;83
210030 Aldeias Altas;113;1;114
210040 Altamira do Maranhão;21;1;22
210043 Alto Alegre do Maranhão;12;5;17
210047 Alto Alegre do Pindaré;165;6;171
210050 Alto Parnaíba;71;11;82
210055 Amapá do Maranhão;6;0;6
210060 Amarante do Maranhão;148;0;148
210070 Anajatuba;80;9;89
210080 Anapurus;36;12;48
210083 Apicum-Açu;5;1;6
210087 Araguanã;16;0;16
210090 Araioses;66;6;72
210095 Arame;34;3;37
210100 Arari;353;68;421
210110 Axixá;28;4;32
210120 Bacabal;2009;196;2205
210125 Bacabeira;238;6;244
210130 Bacuri;48;15;63
210135 Bacurituba;1;0;1
210140 Balsas;1912;662;2574
210150 Barão de Grajaú;198;10;208
210160 Barra do Corda;945;107;1052
210170 Barreirinhas;1212;788;2000
210177 Bela Vista do Maranhão;13;0;13
210173 Belágua;1;0;1
210180 Benedito Leite;26;1;27
210190 Bequimão;114;7;121
210193 Bernardo do Mearim;10;1;11
210197 Boa Vista do Gurupi;26;2;28
210200 Bom Jardim;140;6;146
210203 Bom Jesus das Selvas;142;0;142
210207 Bom Lugar;11;1;12
210210 Brejo;155;21;176
210215 Brejo de Areia;3;1;4
210220 Buriti;76;38;114
210230 Buriti Bravo;75;8;83
210232 Buriticupu;381;11;392
210235 Buritirana;27;0;27
210237 Cachoeira Grande;14;1;15
210240 Cajapió;13;3;16
210250 Cajari;29;1;30
210255 Campestre do Maranhão;38;3;41
210260 Cândido Mendes;35;11;46
210270 Cantanhede;42;12;54
210275 Capinzal do Norte;15;3;18
210280 Carolina;623;35;658
210290 Carutapera;78;22;100
210300 Caxias;4686;908;5594
210310 Cedral;15;8;23
210312 Central do Maranhão;15;1;16
210317 Centro Novo do Maranhão;8;2;10
210320 Chapadinha;860;77;937
210325 Cidelândia;79;7;86
210330 Codó;1418;189;1607
210340 Coelho Neto;2185;1718;3903
210350 Colinas;262;19;281
210355 Conceição do Lago-Açu;7;6;13
210360 Coroatá;550;32;582
210370 Cururupu;211;21;232
210375 Davinópolis;160;1;161
210380 Dom Pedro;184;19;203
210390 Duque Bacelar;12;4;16
210400 Esperantinópolis;98;2;100
210405 Estreito;652;65;717
210407 Feira Nova do Maranhão;10;0;10
210409 Formosa da Serra Negra;12;2;14
210410 Fortaleza dos Nogueiras;29;15;44
210420 Fortuna;81;33;114
210430 Godofredo Viana;40;34;74
210440 Gonçalves Dias;90;0;90
210450 Governador Archer;38;0;38
210455 Governador Edison Lobão;71;2;73
210460 Governador Eugênio Barros;104;26;130
210462 Governador Luiz Rocha;6;0;6
210465 Governador Newton Bello;13;0;13
210467 Governador Nunes Freire;38;0;38
210470 Graça Aranha;17;4;21
210480 Grajaú;405;70;475
210490 Guimarães;85;16;101
210500 Humberto de Campos;27;3;30
210510 Icatu;27;5;32
210515 Igarapé do Meio;41;0;41
210520 Igarapé Grande;48;2;50
210530 Imperatriz;22981;1540;24521
210535 Itaipava do Grajaú;2;0;2
210540 Itapecuru Mirim;626;42;668
210542 Itinga do Maranhão;127;3;130
210545 Jatobá;11;1;12
210547 Jenipapo dos Vieiras;13;0;13
210550 João Lisboa;330;8;338
210560 Joselândia;54;4;58
210565 Junco do Maranhão;1;0;1
210570 Lago da Pedra;173;22;195
210580 Lago do Junco;40;2;42
210594 Lago dos Rodrigues;6;4;10
210590 Lago Verde;22;10;32
210592 Lagoa do Mato;21;3;24
210596 Lagoa Grande do Maranhão;2;0;2
210598 Lajeado Novo;15;0;15
210600 Lima Campos;54;1;55
210610 Loreto;52;3;55
210620 Luís Domingues;19;4;23
210630 Magalhães de Almeida;72;9;81
210632 Maracaçumé;49;10;59
210637 Maranhãozinho;25;3;28
210640 Mata Roma;19;2;21
210650 Matinha;134;13;147
210660 Matões;83;7;90
210663 Matões do Norte;15;5;20
210667 Milagres do Maranhão;3;0;3
210670 Mirador;66;5;71
210675 Miranda do Norte;88;8;96
210680 Mirinzal;54;6;60
210690 Monção;49;8;57
210700 Montes Altos;165;14;179
210710 Morros;24;4;28
210720 Nina Rodrigues;23;8;31
210725 Nova Colinas;5;0;5
210730 Nova Iorque;18;1;19
210735 Nova Olinda do Maranhão;54;6;60
210740 Olho d'Água das Cunhãs;81;0;81
210745 Olinda Nova do Maranhão;21;1;22
210750 Paço do Lumiar;4211;1137;5348
210760 Palmeirândia;46;2;48
210770 Paraibano;84;3;87
210780 Parnarama;173;9;182
210790 Passagem Franca;73;7;80
210800 Pastos Bons;68;6;74
210805 Paulino Neves;35;12;47
210810 Paulo Ramos;74;2;76
210820 Pedreiras;1216;81;1297
210825 Pedro do Rosário;4;0;4
210830 Penalva;75;13;88
210840 Peri Mirim;36;3;39
210845 Peritoró;59;5;64
210850 Pindaré-Mirim;542;93;635
210860 Pinheiro;1162;183;1345
210870 Pio XII;101;3;104
210880 Pirapemas;73;8;81
210890 Poção de Pedras;81;6;87
210900 Porto Franco;488;105;593
210905 Porto Rico do Maranhão;4;0;4
210910 Presidente Dutra;936;72;1008
210920 Presidente Juscelino;14;1;15
210923 Presidente Médici;12;2;14
210927 Presidente Sarney;9;1;10
210930 Presidente Vargas;26;0;26
210940 Primeira Cruz;28;1;29
210945 Raposa;208;30;238
210950 Riachão;101;12;113
210955 Ribamar Fiquene;45;5;50
210960 Rosário;900;70;970
210970 Sambaíba;27;23;50
210975 Santa Filomena do Maranhão;4;0;4
210980 Santa Helena;183;9;192
210990 Santa Inês;2218;210;2428
211000 Santa Luzia;308;185;493
211003 Santa Luzia do Paruá;79;3;82
211010 Santa Quitéria do Maranhão;48;6;54
211020 Santa Rita;589;342;931
211023 Santana do Maranhão;5;0;5
211027 Santo Amaro do Maranhão;4;0;4
211030 Santo Antônio dos Lopes;89;0;89
211040 São Benedito do Rio Preto;23;2;25
211050 São Bento;225;18;243
211060 São Bernardo;113;12;125
211065 São Domingos do Azeitão;25;3;28
211070 São Domingos do Maranhão;103;5;108
211080 São Félix de Balsas;5;3;8
211085 São Francisco do Brejão;31;0;31
211090 São Francisco do Maranhão;12;0;12
211100 São João Batista;112;7;119
211102 São João do Carú;14;5;19
211105 São João do Paraíso;28;14;42
211107 São João do Soter;5;1;6
211110 São João dos Patos;575;59;634
211120 São José de Ribamar;3535;580;4115
211125 São José dos Basílios;5;0;5
211130 São Luís;204086;31849;235935
211140 São Luís Gonzaga do Maranhão;107;15;122
211150 São Mateus do Maranhão;237;9;246
211153 São Pedro da Água Branca;161;4;165
211157 São Pedro dos Crentes;1;0;1
211160 São Raimundo das Mangabeiras;147;9;156
211163 São Raimundo do Doca Bezerra;2;0;2
211170 São Vicente Ferrer;80;12;92
211172 Satubinha;5;0;5
211174 Senador Alexandre Costa;5;2;7
211176 Senador La Rocque;258;0;258
211178 Serrano do Maranhão;2;0;2
211180 Sítio Novo;59;3;62
211190 Sucupira do Norte;21;2;23
211195 Sucupira do Riachão;3;0;3
211200 Tasso Fragoso;196;87;283
211210 Timbiras;80;9;89
211220 Timon;6550;610;7160
